year,books_per_capita
1500,1.851916284171451e+16
1501,7849691394799348.0
1502,9552662483237392.0
1503,1.1421761228288828e+16
1504,1.5314647806974928e+16
1505,2.2210710390803908e+16
1506,5073824362926822.0
1507,1.821268311469739e+16
1508,8974182644002601.0
1509,2.168950725774658e+16
1510,7841124679171794.0
1511,1.3891297257814302e+16
1512,1.5265943573444476e+16
1513,1.1832621270293224e+16
1514,1.4520470436490084e+16
1515,1.613259068807698e+16
1516,1.7256500428083712e+16
1517,1.9932894459194824e+16
1518,7253180250270618.0
1519,7987679023385421.0
1520,1.8706393104677944e+16
1521,9802126622872928.0
1522,1.7453187677559562e+16
1523,4582543295387695.0
1524,1.0231945265077658e+16
1525,1.7974051443802216e+16
1526,1.785521335991356e+16
1527,1.4077465943246206e+16
1528,1.155400730207644e+16
1529,9521492960713604.0
1530,1.0695765001992332e+16
1531,2.090075346534351e+16
1532,1.912751403635507e+16
1533,1.468088592691074e+16
1534,1.226039397208415e+16
1535,1.729819105537999e+16
1536,1.8036960800784956e+16
1537,8290162441978148.0
1538,1.2693367763058e+16
1539,2.076793158993634e+16
1540,1.3015791004039486e+16
1541,1.4509320929107124e+16
1542,2.338467994578229e+16
1543,1.1343497676400038e+16
1544,1.5143659281505964e+16
1545,2.020700877526349e+16
1546,1.6883612297439886e+16
1547,2.041225575364023e+16
1548,1.769271046792064e+16
1549,1.425771964406252e+16
1550,1.849397020190301e+16
1551,1.4512352724413564e+16
1552,1.415428575504235e+16
1553,1.3232340640848436e+16
1554,2.1414759491832296e+16
1555,1.18442247552978e+16
1556,1.962609398724789e+16
1557,1.0682863233512702e+16
1558,1.36794260317797e+16
1559,1.032233995692626e+16
1560,1.128977435519508e+16
1561,1.4654182626356594e+16
1562,1.1807959239823822e+16
1563,2.493283750489777e+16
1564,2.321013555113672e+16
1565,1.1104145311888068e+16
1566,2.205715861010798e+16
1567,2.0837752186733164e+16
1568,1.1917155786478942e+16
1569,1.9991990763165136e+16
1570,1.5920570262216564e+16
1571,1.086966463122103e+16
1572,1.3163460328641488e+16
1573,1.975233173727491e+16
1574,1.938678992727213e+16
1575,1.4549896846360418e+16
1576,9156014564286984.0
1577,2.0213759985486572e+16
1578,1.5998145727002472e+16
1579,2.111200191868907e+16
1580,1.3287091600637656e+16
1581,2.1406437598374508e+16
1582,1.1147889438357844e+16
1583,1.0767647755639932e+16
1584,1.694673220322952e+16
1585,1.6618701622255942e+16
1586,7508880314245543.0
1587,1.4678537691262728e+16
1588,9841158625231722.0
1589,1.915431562527258e+16
1590,8586239541151172.0
1591,1.0180070955897042e+16
1592,1.0039020838980184e+16
1593,8445938248273207.0
1594,1.4924267833918574e+16
1595,1.8145223129185784e+16
1596,1.541377113249488e+16
1597,1.5257812224769744e+16
1598,9801946871822464.0
1599,1.4440338655014768e+16
1600,1.0169209244155698e+16
1601,1.2785724225110186e+16
1602,2.358110745119399e+16
1603,1.0723255430434414e+16
1604,2.0066549466199584e+16
1605,1.7333888018075506e+16
1606,1.5456311720898336e+16
1607,1.2497577054405262e+16
1608,9442211761401674.0
1609,1.2073904734852692e+16
1610,1.601575457036981e+16
1611,1.328436997138698e+16
1612,1.2836127988971066e+16
1613,2.033477548318213e+16
1614,1.1207598004069522e+16
1615,1.2029830140998256e+16
1616,1.1911705543873952e+16
1617,9437304553377972.0
1618,1.6716750308002236e+16
1619,1.0474190795819924e+16
1620,1.3037992248836678e+16
1621,1.2305357608344512e+16
1622,1.2629820730393146e+16
1623,1.1221378670053378e+16
1624,1.0150686292042916e+16
1625,8825227748992354.0
1626,1.1647778525129152e+16
1627,1.5277244739801134e+16
1628,1.262623646796379e+16
1629,1.3524520414466188e+16
1630,1.7931170534618156e+16
1631,1.1021410185495986e+16
1632,1.311351941475994e+16
1633,1.7448734344833642e+16
1634,1.2329058165784114e+16
1635,1.5341277036614186e+16
1636,1.697906371703673e+16
1637,1.7945951063492932e+16
1638,1.3963089397982956e+16
1639,1.5145904137256306e+16
1640,1.693915090329609e+16
1641,1.959073732602151e+16
1642,1.1702377269193472e+16
1643,1.252770187386798e+16
1644,1.262799276533248e+16
