country,year,indicator,sales_value,gdp,gdp_unit,sector_type
AL,2016,G47,65.85000000000001,10420.1,CLV10_MEUR,Total retail
AL,2016,G476,67.43333333333334,10420.1,CLV10_MEUR,Discretionary
AL,2017,G47,66.28333333333333,10762.2,CLV10_MEUR,Total retail
AL,2017,G476,87.4,10762.2,CLV10_MEUR,Discretionary
AL,2018,G47,69.15,11157.3,CLV10_MEUR,Total retail
AL,2018,G476,66.21666666666667,11157.3,CLV10_MEUR,Discretionary
AL,2019,G47,71.7,11387.4,CLV10_MEUR,Total retail
AL,2019,G476,80.55,11387.4,CLV10_MEUR,Discretionary
AL,2020,G47,103.875,11010.1,CLV10_MEUR,Total retail
AL,2020,G476,107.125,11010.1,CLV10_MEUR,Discretionary
AL,2021,G47,76.38333333333334,11997.6,CLV10_MEUR,Total retail
AL,2021,G476,75.33333333333333,11997.6,CLV10_MEUR,Discretionary
AL,2022,G47,86.11666666666667,12576.7,CLV10_MEUR,Total retail
AL,2022,G476,83.31666666666666,12576.7,CLV10_MEUR,Discretionary
AL,2023,G47,60.825,13081.7,CLV10_MEUR,Total retail
AL,2023,G476,71.13333333333334,13081.7,CLV10_MEUR,Discretionary
AL,2024,G47,65.425,13611.0,CLV10_MEUR,Total retail
AL,2024,G476,71.2,13611.0,CLV10_MEUR,Discretionary
AT,2016,G47,74.7125,316647.9,CLV10_MEUR,Total retail
AT,2016,G47_NF_HLTH,73.9375,316647.9,CLV10_MEUR,Essential retail
AT,2017,G47,76.775,323842.9,CLV10_MEUR,Total retail
AT,2017,G47_NF_HLTH,77.1375,323842.9,CLV10_MEUR,Essential retail
AT,2018,G47,67.11666666666666,331887.9,CLV10_MEUR,Total retail
AT,2018,G47_NF_HLTH,67.25,331887.9,CLV10_MEUR,Essential retail
AT,2019,G47,68.14999999999999,337712.4,CLV10_MEUR,Total retail
AT,2019,G47_NF_HLTH,67.60000000000001,337712.4,CLV10_MEUR,Essential retail
AT,2020,G47,101.15,316374.9,CLV10_MEUR,Total retail
AT,2020,G47_NF_HLTH,80.1,316374.9,CLV10_MEUR,Essential retail
AT,2021,G47,71.60000000000001,331950.3,CLV10_MEUR,Total retail
AT,2021,G476,100.1,331950.3,CLV10_MEUR,Discretionary
AT,2021,G47_NF_HLTH,77.45,331950.3,CLV10_MEUR,Essential retail
AT,2022,G47,88.9,349646.5,CLV10_MEUR,Total retail
AT,2022,G476,59.55,349646.5,CLV10_MEUR,Discretionary
AT,2022,G47_NF_HLTH,76.76666666666667,349646.5,CLV10_MEUR,Essential retail
AT,2023,G47,70.06666666666666,346897.4,CLV10_MEUR,Total retail
AT,2023,G476,72.33333333333333,346897.4,CLV10_MEUR,Discretionary
AT,2023,G47_NF_HLTH,69.06666666666666,346897.4,CLV10_MEUR,Essential retail
AT,2024,G47,53.1,344611.1,CLV10_MEUR,Total retail
AT,2024,G476,106.4,344611.1,CLV10_MEUR,Discretionary
AT,2025,G47,54.4,346733.0,CLV10_MEUR,Total retail
AT,2025,G476,104.65,346733.0,CLV10_MEUR,Discretionary
BA,2016,G47,62.71666666666667,14474.8,CLV10_MEUR,Total retail
BA,2017,G47,66.1,14944.3,CLV10_MEUR,Total retail
