country,year,gdp_per_capita,unit
AL,2016,10420.1,CLV10_MEUR
AL,2017,10762.2,CLV10_MEUR
AL,2018,11157.3,CLV10_MEUR
AL,2019,11387.4,CLV10_MEUR
AL,2020,11010.1,CLV10_MEUR
AL,2021,11997.6,CLV10_MEUR
AL,2022,12576.7,CLV10_MEUR
AL,2023,13081.7,CLV10_MEUR
AL,2024,13611.0,CLV10_MEUR
AT,2016,316647.9,CLV10_MEUR
AT,2017,323842.9,CLV10_MEUR
AT,2018,331887.9,CLV10_MEUR
AT,2019,337712.4,CLV10_MEUR
AT,2020,316374.9,CLV10_MEUR
AT,2021,331950.3,CLV10_MEUR
AT,2022,349646.5,CLV10_MEUR
AT,2023,346897.4,CLV10_MEUR
AT,2024,344611.1,CLV10_MEUR
AT,2025,346733.0,CLV10_MEUR
BA,2016,14474.8,CLV10_MEUR
BA,2017,14944.3,CLV10_MEUR
BA,2018,15516.6,CLV10_MEUR
BA,2019,15964.3,CLV10_MEUR
BA,2020,15483.0,CLV10_MEUR
BA,2021,16627.5,CLV10_MEUR
BA,2022,17330.3,CLV10_MEUR
BA,2023,17675.9,CLV10_MEUR
BA,2024,18246.3,CLV10_MEUR
BE,2016,388931.6,CLV10_MEUR
BE,2017,394666.3,CLV10_MEUR
BE,2018,402078.0,CLV10_MEUR
BE,2019,411900.3,CLV10_MEUR
BE,2020,392158.0,CLV10_MEUR
BE,2021,416685.4,CLV10_MEUR
BE,2022,433455.3,CLV10_MEUR
BE,2023,440222.7,CLV10_MEUR
BE,2024,445055.2,CLV10_MEUR
BE,2025,449430.7,CLV10_MEUR
BG,2016,42121.4,CLV10_MEUR
BG,2017,43278.0,CLV10_MEUR
BG,2018,44286.5,CLV10_MEUR
BG,2019,45966.4,CLV10_MEUR
BG,2020,44526.2,CLV10_MEUR
BG,2021,48011.7,CLV10_MEUR
BG,2022,49972.5,CLV10_MEUR
BG,2023,50812.8,CLV10_MEUR
BG,2024,52533.9,CLV10_MEUR
BG,2025,54160.5,CLV10_MEUR
CH,2016,510306.7,CLV10_MEUR
CH,2017,517554.8,CLV10_MEUR
CH,2018,534776.1,CLV10_MEUR
CH,2019,540740.6,CLV10_MEUR
CH,2020,528545.5,CLV10_MEUR
CH,2021,561189.6,CLV10_MEUR
CH,2022,581023.8,CLV10_MEUR
CH,2023,585820.5,CLV10_MEUR
CH,2024,593965.3,CLV10_MEUR
CH,2025,601687.4,CLV10_MEUR
CY,2016,19081.4,CLV10_MEUR
CY,2017,20178.7,CLV10_MEUR
CY,2018,21444.3,CLV10_MEUR
CY,2019,22704.3,CLV10_MEUR
CY,2020,21973.0,CLV10_MEUR
CY,2021,24477.4,CLV10_MEUR
CY,2022,26616.4,CLV10_MEUR
CY,2023,27580.0,CLV10_MEUR
CY,2024,28666.9,CLV10_MEUR
CY,2025,29748.6,CLV10_MEUR
CZ,2016,177253.0,CLV10_MEUR
CZ,2017,186423.3,CLV10_MEUR
CZ,2018,191699.7,CLV10_MEUR
CZ,2019,198535.3,CLV10_MEUR
CZ,2020,188003.2,CLV10_MEUR
CZ,2021,195577.9,CLV10_MEUR
CZ,2022,201146.3,CLV10_MEUR
CZ,2023,201242.0,CLV10_MEUR
CZ,2024,203760.2,CLV10_MEUR
CZ,2025,209018.2,CLV10_MEUR
DE,2016,2906299.4,CLV10_MEUR
DE,2017,2987615.0,CLV10_MEUR
DE,2018,3021545.2,CLV10_MEUR
DE,2019,3051087.9,CLV10_MEUR
