country,year,sales_value,sales_unit,indicator
AL,2005,38.7,I15,G47
AL,2006,49.9,I15,G47
AL,2007,49.3,I15,G47
AL,2008,64.2,I15,G47
AL,2009,65.4,I15,G47
AL,2010,70.2,I15,G47
AL,2011,79.4,I15,G47
AL,2012,85.6,I15,G47
AL,2013,90.5,I15,G47
AL,2014,95.7,I15,G47
AL,2015,100.0,I15,G47
AL,2016,104.4,I15,G47
AL,2017,108.1,I15,G47
AL,2018,113.4,I15,G47
AL,2019,118.1,I15,G47
AL,2020,115.4,I15,G47
AL,2021,125.0,I15,G47
AL,2022,146.9,I15,G47
AL,2023,123.1,I21,G47
AL,2024,131.4,I21,G47
AL,2025,140.2,I21,G47
AL,2005,37.9,I15,G476
AL,2006,38.8,I15,G476
AL,2007,39.7,I15,G476
AL,2008,63.7,I15,G476
AL,2009,64.4,I15,G476
AL,2010,76.0,I15,G476
AL,2011,56.7,I15,G476
AL,2012,62.9,I15,G476
AL,2013,76.3,I15,G476
AL,2014,85.3,I15,G476
AL,2015,100.0,I15,G476
AL,2016,107.4,I15,G476
AL,2017,96.5,I15,G476
AL,2018,106.6,I15,G476
AL,2019,130.0,I15,G476
AL,2020,124.7,I15,G476
AL,2021,129.4,I15,G476
AL,2022,142.4,I15,G476
AL,2023,110.5,I21,G476
AL,2024,111.9,I21,G476
AL,2025,116.1,I21,G476
AT,2000,81.9,I10,G47
AT,2001,82.0,I10,G47
AT,2002,82.5,I10,G47
AT,2003,83.5,I10,G47
AT,2004,84.9,I10,G47
AT,2005,86.9,I10,G47
AT,2006,89.2,I10,G47
AT,2007,92.0,I10,G47
AT,2008,94.7,I10,G47
AT,2009,96.2,I10,G47
AT,2010,100.0,I10,G47
AT,2011,102.3,I10,G47
AT,2012,104.4,I10,G47
AT,2013,106.0,I10,G47
AT,2014,107.2,I10,G47
AT,2015,109.1,I10,G47
AT,2016,110.2,I10,G47
AT,2017,113.9,I10,G47
AT,2018,107.4,I15,G47
AT,2019,109.5,I15,G47
AT,2020,109.4,I15,G47
AT,2021,115.0,I15,G47
AT,2022,124.2,I15,G47
AT,2023,111.3,I21,G47
AT,2024,113.6,I21,G47
AT,2025,116.8,I21,G47
AT,2021,100.1,I21,G476
AT,2022,112.8,I21,G476
AT,2023,113.7,I21,G476
AT,2024,112.0,I21,G476
AT,2025,111.5,I21,G476
AT,2000,68.7,I10,G47_NF_HLTH
AT,2001,74.8,I10,G47_NF_HLTH
AT,2002,75.6,I10,G47_NF_HLTH
AT,2003,78.3,I10,G47_NF_HLTH
AT,2004,79.0,I10,G47_NF_HLTH
AT,2005,81.0,I10,G47_NF_HLTH
AT,2006,84.4,I10,G47_NF_HLTH
AT,2007,88.5,I10,G47_NF_HLTH
AT,2008,94.0,I10,G47_NF_HLTH
AT,2009,98.2,I10,G47_NF_HLTH
AT,2010,100.0,I10,G47_NF_HLTH
AT,2011,101.2,I10,G47_NF_HLTH
AT,2012,103.2,I10,G47_NF_HLTH
AT,2013,102.8,I10,G47_NF_HLTH
AT,2014,104.5,I10,G47_NF_HLTH
AT,2015,107.9,I10,G47_NF_HLTH
AT,2016,110.8,I10,G47_NF_HLTH
AT,2017,115.7,I10,G47_NF_HLTH
AT,2018,111.0,I15,G47_NF_HLTH
AT,2019,113.5,I15,G47_NF_HLTH
AT,2020,113.9,I15,G47_NF_HLTH
AT,2021,127.2,I15,G47_NF_HLTH
AT,2022,132.4,I15,G47_NF_HLTH
AT,2023,106.7,I21,G47_NF_HLTH
BA,2006,60.6,I15,G47
BA,2007,68.9,I15,G47
BA,2008,82.4,I15,G47
BA,2009,74.6,I15,G47
BA,2010,79.3,I15,G47
BA,2011,88.1,I15,G47
BA,2012,91.8,I15,G47
BA,2013,95.7,I15,G47
BA,2014,96.1,I15,G47
BA,2015,100.0,I15,G47
BA,2016,104.0,I15,G47
BA,2017,110.0,I15,G47
BA,2018,122.3,I15,G47
BA,2019,128.1,I15,G47
BA,2020,114.8,I15,G47
BA,2021,134.1,I15,G47
BA,2022,162.4,I15,G47
BA,2023,177.6,I15,G47
BA,2024,141.2,I21,G47
BE,1998,70.5,I10,G47
BE,1999,72.4,I10,G47
BE,2000,77.9,I10,G47
BE,2001,79.9,I10,G47
BE,2002,80.4,I10,G47
BE,2003,81.5,I10,G47
BE,2004,84.2,I10,G47
BE,2005,87.2,I10,G47
BE,2006,90.0,I10,G47
BE,2007,93.5,I10,G47
BE,2008,98.2,I10,G47
BE,2009,98.2,I10,G47
BE,2010,99.9,I10,G47
BE,2011,103.4,I10,G47
BE,2012,106.9,I10,G47
BE,2013,107.8,I10,G47
BE,2014,109.2,I10,G47
BE,2015,111.1,I10,G47
BE,2016,111.7,I10,G47
BE,2017,113.2,I10,G47
BE,2018,104.4,I15,G47
BE,2019,106.4,I15,G47
BE,2020,109.1,I15,G47
BE,2021,116.2,I15,G47
BE,2022,120.5,I15,G47
BE,2023,124.3,I15,G47
BE,2024,107.7,I21,G47
BE,2025,109.5,I21,G47
BE,2010,98.7,I15,G476
BE,2011,99.3,I15,G476
BE,2012,100.6,I15,G476
BE,2013,100.2,I15,G476
BE,2014,103.2,I15,G476
BE,2015,100.1,I15,G476
BE,2016,99.0,I15,G476
BE,2017,103.8,I15,G476
BE,2018,104.8,I15,G476
BE,2019,107.1,I15,G476
BE,2020,104.3,I15,G476
BE,2021,114.6,I15,G476
BE,2022,114.8,I15,G476
BE,2023,116.1,I15,G476
BE,2024,101.7,I21,G476
BE,2025,106.7,I21,G476
BE,1998,74.1,I10,G47_NF_HLTH
BE,1999,76.4,I10,G47_NF_HLTH
BE,2000,80.8,I10,G47_NF_HLTH
BE,2001,85.8,I10,G47_NF_HLTH
BE,2002,86.7,I10,G47_NF_HLTH
BE,2003,89.4,I10,G47_NF_HLTH
BE,2004,91.2,I10,G47_NF_HLTH
BE,2005,90.1,I10,G47_NF_HLTH
BE,2006,88.7,I10,G47_NF_HLTH
BE,2007,91.7,I10,G47_NF_HLTH
BE,2008,96.7,I10,G47_NF_HLTH
BE,2009,99.3,I10,G47_NF_HLTH
BE,2010,100.0,I10,G47_NF_HLTH
BE,2011,103.7,I10,G47_NF_HLTH
BE,2012,104.0,I10,G47_NF_HLTH
BE,2013,105.8,I10,G47_NF_HLTH
BE,2014,107.5,I10,G47_NF_HLTH
BE,2015,111.9,I10,G47_NF_HLTH
BE,2016,115.9,I10,G47_NF_HLTH
BE,2017,116.4,I10,G47_NF_HLTH
BE,2018,105.8,I15,G47_NF_HLTH
BE,2019,107.5,I15,G47_NF_HLTH
BE,2020,106.8,I15,G47_NF_HLTH
BE,2021,111.8,I15,G47_NF_HLTH
BE,2022,117.1,I15,G47_NF_HLTH
BE,2023,125.3,I15,G47_NF_HLTH
BE,2024,117.1,I21,G47_NF_HLTH
BE,2025,124.1,I21,G47_NF_HLTH
BG,2000,30.1,I10,G47
BG,2001,32.8,I10,G47
BG,2002,35.9,I10,G47
BG,2003,41.4,I10,G47
BG,2004,50.5,I10,G47
BG,2005,61.6,I10,G47
BG,2006,73.9,I10,G47
BG,2007,93.7,I10,G47
BG,2008,113.2,I10,G47
BG,2009,103.6,I10,G47
BG,2010,100.0,I10,G47
BG,2011,105.8,I10,G47
BG,2012,114.8,I10,G47
BG,2013,119.4,I10,G47
BG,2014,129.6,I10,G47
BG,2015,140.5,I10,G47
BG,2016,143.2,I10,G47
BG,2017,149.7,I10,G47
BG,2018,120.0,I15,G47
BG,2019,129.3,I15,G47
BG,2020,132.1,I15,G47
BG,2021,151.4,I15,G47
BG,2022,185.7,I15,G47
BG,2023,200.2,I15,G47
BG,2024,146.0,I21,G47
BG,2025,157.5,I21,G47
BG,2000,19.5,I10,G47_NF_HLTH
BG,2001,25.7,I10,G47_NF_HLTH
BG,2002,30.7,I10,G47_NF_HLTH
BG,2003,33.0,I10,G47_NF_HLTH
BG,2004,39.3,I10,G47_NF_HLTH
BG,2005,45.5,I10,G47_NF_HLTH
BG,2006,53.5,I10,G47_NF_HLTH
BG,2007,60.8,I10,G47_NF_HLTH
BG,2008,76.9,I10,G47_NF_HLTH
BG,2009,90.5,I10,G47_NF_HLTH
BG,2010,100.0,I10,G47_NF_HLTH
BG,2011,108.8,I10,G47_NF_HLTH
BG,2012,118.6,I10,G47_NF_HLTH
BG,2013,129.3,I10,G47_NF_HLTH
BG,2014,143.8,I10,G47_NF_HLTH
BG,2015,155.1,I10,G47_NF_HLTH
BG,2016,162.9,I10,G47_NF_HLTH
BG,2017,169.1,I10,G47_NF_HLTH
BG,2018,121.8,I15,G47_NF_HLTH
BG,2019,106.7,I15,G47_NF_HLTH
BG,2020,139.0,I15,G47_NF_HLTH
BG,2021,174.5,I15,G47_NF_HLTH
CH,2000,85.6,I10,G47
CH,2001,87.4,I10,G47
CH,2002,86.5,I10,G47
CH,2003,86.4,I10,G47
CH,2004,87.4,I10,G47
CH,2005,89.0,I10,G47
CH,2006,91.0,I10,G47
CH,2007,94.4,I10,G47
CH,2008,98.2,I10,G47
CH,2009,98.5,I10,G47
CH,2010,100.0,I10,G47
CH,2011,98.6,I10,G47
CH,2012,99.9,I10,G47
CH,2013,100.5,I10,G47
CH,2014,100.6,I10,G47
CH,2015,97.5,I10,G47
CH,2016,94.9,I10,G47
CH,2017,95.0,I10,G47
CH,2018,101.0,I15,G47
CH,2019,102.0,I15,G47
CH,2020,102.7,I15,G47
CH,2021,106.9,I15,G47
CH,2022,108.6,I15,G47
CH,2023,108.8,I15,G47
CH,2024,101.9,I21,G47
CH,2025,102.8,I21,G47
CH,2000,93.2,I10,G476
CH,2001,95.3,I10,G476
CH,2002,93.0,I10,G476
CH,2003,90.6,I10,G476
CH,2004,90.7,I10,G476
CH,2005,93.0,I10,G476
CH,2006,95.3,I10,G476
CH,2007,99.5,I10,G476
CH,2008,101.4,I10,G476
CH,2009,100.2,I10,G476
CH,2010,100.0,I10,G476
CH,2011,95.6,I10,G476
CH,2012,94.1,I10,G476
CH,2013,93.6,I10,G476
CH,2014,92.6,I10,G476
CH,2015,89.3,I10,G476
CH,2016,84.7,I10,G476
CH,2017,94.1,I15,G476
CH,2018,94.1,I15,G476
CH,2019,94.3,I15,G476
CH,2020,89.6,I15,G476
CH,2021,95.2,I15,G476
CH,2022,103.0,I15,G476
CH,2023,102.1,I15,G476
CH,2024,105.6,I21,G476
CH,2025,108.5,I21,G476
CY,2000,57.7,I10,G47
CY,2001,62.9,I10,G47
CY,2002,66.9,I10,G47
CY,2003,69.1,I10,G47
CY,2004,74.5,I10,G47
CY,2005,79.0,I10,G47
CY,2006,86.4,I10,G47
CY,2007,95.2,I10,G47
CY,2008,104.2,I10,G47
CY,2009,98.7,I10,G47
CY,2010,100.0,I10,G47
CY,2011,99.1,I10,G47
CY,2012,95.5,I10,G47
CY,2013,88.5,I10,G47
CY,2014,88.8,I10,G47
CY,2015,88.8,I10,G47
CY,2016,91.2,I10,G47
CY,2017,96.3,I10,G47
CY,2018,115.0,I15,G47
CY,2019,117.7,I15,G47
CY,2020,114.0,I15,G47
CY,2021,124.7,I15,G47
CY,2022,138.7,I15,G47
